Instância;n;Melhor Sol.;Opt;Sol. AS;Lim. Iter. AS;T (s) AS;%gap AS;Sol. AC;Lim. Iter. AC;T (s) AC;%gap AC;Sol. GS;Lim. Iter. GS;T (s) GS;%gap GS;Sol. GC;Lim. Iter. GC;T (s) GC;%gap GC
A-n32-k5;31;784;sim;2162;;0,00;175,77;866;;0,53;10,46;961;;0,00;22,58;890;;0,18;13,52
A-n33-k5;32;661;sim;2106;;0,00;218,61;876;;0,35;32,53;829;;0,00;25,42;680;;0,17;2,87
A-n33-k6;32;742;sim;1779;;0,00;139,76;879;;0,36;18,46;953;;0,00;28,44;843;;0,18;13,61
A-n34-k5;33;778;sim;1948;;0,00;150,39;941;;0,38;20,95;876;;0,00;12,60;836;;0,22;7,46
A-n36-k5;35;799;sim;2203;;0,00;175,72;925;;0,70;15,77;925;;0,00;15,77;868;;0,27;8,64
A-n37-k5;36;669;sim;1770;;0,00;164,57;797;;0,48;19,13;866;;0,00;29,45;793;;0,19;18,54
A-n37-k6;36;949;sim;2438;;0,00;156,90;1126;;0,53;18,65;1166;;0,00;22,87;1125;;0,23;18,55
A-n38-k5;37;730;sim;2412;;0,00;230,41;871;;0,80;19,32;1011;;0,00;38,49;859;;0,42;17,67
A-n39-k5;38;822;sim;2322;;0,00;182,48;902;;1,06;9,73;1106;;0,00;34,55;876;;0,46;6,57
A-n39-k6;38;831;sim;2231;;0,00;168,47;923;;0,99;11,07;1025;;0,00;23,35;969;;0,56;16,61
A-n44-k6;43;937;sim;2588;;0,00;176,20;1196;;1,17;27,64;1308;;0,00;39,59;1008;;0,93;7,58
A-n45-k6;44;944;sim;2797;;0,00;196,29;1104;;1,46;16,95;1174;;0,00;24,36;1075;;0,96;13,88
A-n45-k7;44;1146;sim;2676;;0,00;133,51;1274;;1,26;11,17;1327;;0,00;15,79;1245;;0,99;8,64
A-n46-k7;45;914;sim;2759;;0,00;201,86;1086;;3,06;18,82;1201;;0,00;31,40;1076;;1,17;17,72
A-n48-k7;47;1073;sim;3004;;0,00;179,96;1219;;4,24;13,61;1307;;0,00;21,81;1220;;0,87;13,70
A-n53-k7;52;1010;sim;3091;;0,00;206,04;1205;;4,29;19,31;1313;;0,00;30,00;1209;;1,20;19,70
A-n54-k7;53;1167;sim;3081;;0,00;164,01;1500;;3,79;28,53;1534;;0,00;31,45;1299;;2,55;11,31
A-n55-k9;54;1073;sim;3303;;0,00;207,83;1307;;4,55;21,81;1320;;0,00;23,02;1128;;1,22;5,13
A-n60-k9;59;1354;sim;3779;;0,00;179,10;1506;;6,05;11,23;1676;;0,00;23,78;1564;;4,31;15,51
A-n61-k9;60;1034;sim;3156;;0,00;205,22;1256;;6,57;21,47;1215;;0,00;17,50;1147;;3,40;10,93
A-n62-k8;61;1288;sim;3793;;0,00;194,49;1617;;4,81;25,54;1535;;0,00;19,18;1444;;3,05;12,11
A-n63-k10;62;1314;sim;3521;;0,00;167,96;1563;;7,25;18,95;1697;;0,00;29,15;1414;;2,95;7,61
A-n63-k9;62;1616;sim;4041;;0,00;150,06;1885;;9,50;16,65;1943;;0,00;20,24;1749;;2,43;8,23
A-n64-k9;63;1401;sim;3726;;0,00;165,95;1595;;9,86;13,85;1706;;0,00;21,77;1621;;6,66;15,70
A-n65-k9;64;1174;sim;4030;;0,00;243,27;1485;;7,16;26,49;1465;;0,00;24,79;1432;;2,53;21,98
A-n69-k9;68;1159;sim;3880;;0,00;234,77;1428;;8,45;23,21;1386;;0,00;19,59;1323;;3,69;14,15
A-n80-k10;79;1763;sim;5315;;0,00;201,47;2110;;25,62;19,68;1988;;0,00;12,76;1945;;10,26;10,32
;Total;28132;;79911;;0,00;184,06;33442;;115,27;18,88;34813;;0,00;23,75;31638;;52,05;12,46
