Instância;n;Melhor Sol.;Opt;Sol. AS;Lim. Iter. AS;T (s) AS;%gap AS;Sol. AC;Lim. Iter. AC;T (s) AC;%gap AC;Sol. GS;Lim. Iter. GS;T (s) GS;%gap GS;Sol. GC;Lim. Iter. GC;T (s) GC;%gap GC
P-n16-k8;15;450;sim;616;;0,00;36,89;453;;0,03;0,67;497;;0,00;10,44;477;;0,01;6,00
P-n19-k2;18;212;sim;490;;0,00;131,13;231;;0,05;8,96;299;;0,00;41,04;236;;0,02;11,32
P-n20-k2;19;216;sim;489;;0,00;126,39;247;;0,03;14,35;305;;0,00;41,20;228;;0,03;5,56
P-n21-k2;20;211;sim;435;;0,00;106,16;262;;0,03;24,17;257;;0,00;21,80;246;;0,02;16,59
P-n22-k2;21;216;sim;563;;0,00;160,65;303;;0,04;40,28;261;;0,00;20,83;250;;0,03;15,74
P-n22-k8;21;603;sim;939;;0,00;55,72;647;;0,06;7,30;702;;0,00;16,42;599;;0,05;-0,66
P-n23-k8;22;529;sim;728;;0,00;37,62;534;;0,08;0,95;598;;0,00;13,04;541;;0,05;2,27
P-n40-k5;39;458;sim;1355;;0,00;195,85;554;;0,70;20,96;609;;0,00;32,97;541;;0,34;18,12
P-n45-k5;44;510;sim;1629;;0,00;219,41;639;;1,23;25,29;713;;0,00;39,80;558;;1,34;9,41
P-n50-k10;49;696;sim;1586;;0,00;127,87;828;;1,83;18,97;859;;0,00;23,42;778;;0,59;11,78
P-n50-k7;49;554;sim;1575;;0,00;184,30;654;;2,91;18,05;670;;0,00;20,94;653;;0,64;17,87
P-n50-k8;49;631;sim;1573;;0,00;149,29;724;;2,12;14,74;717;;0,00;13,63;674;;1,50;6,81
P-n51-k10;50;741;sim;1841;;0,00;148,45;782;;4,61;5,53;967;;0,00;30,50;891;;1,13;20,24
P-n55-k10;54;694;sim;1841;;0,00;165,27;791;;3,84;13,98;795;;0,00;14,55;755;;1,47;8,79
P-n55-k15;54;989;sim;1939;;0,00;96,06;1025;;4,37;3,64;1092;;0,00;10,41;1039;;1,41;5,06
P-n55-k7;54;568;sim;1803;;0,00;217,43;700;;3,19;23,24;710;;0,00;25,00;672;;1,49;18,31
P-n55-k8;54;588;sim;1811;;0,00;207,99;742;;3,20;26,19;717;;0,00;21,94;659;;1,85;12,07
P-n60-k10;59;744;sim;2025;;0,00;172,18;902;;4,48;21,24;953;;0,00;28,09;823;;2,48;10,62
P-n60-k15;59;968;sim;2147;;0,00;121,80;1102;;6,50;13,84;1113;;0,00;14,98;1043;;1,93;7,75
P-n65-k10;64;792;sim;2269;;0,00;186,49;916;;9,69;15,66;981;;0,00;23,86;915;;3,07;15,53
P-n70-k10;69;827;sim;2254;;0,00;172,55;1036;;13,89;25,27;977;;0,00;18,14;949;;2,64;14,75
P-n76-k4;75;593;sim;2599;;0,00;338,28;758;;38,56;27,82;797;;0,00;34,40;724;;7,13;22,09
P-n76-k5;75;627;sim;2623;;0,00;318,34;774;;29,85;23,44;759;;0,00;21,05;748;;3,25;19,30
P-n101-k4;100;681;sim;3512;;0,00;415,71;966;;70,04;41,85;944;;0,00;38,62;832;;28,28;22,17
;Total;14098;;38642;;0,00;174,10;16570;;201,33;17,53;17292;;0,00;22,66;15831;;60,75;12,29
