Instância;n;Melhor Sol.;Opt;Sol. AS;Lim. Iter. AS;T (s) AS;%gap AS;Sol. AC;Lim. Iter. AC;T (s) AC;%gap AC;Sol. GS;Lim. Iter. GS;T (s) GS;%gap GS;Sol. GC;Lim. Iter. GC;T (s) GC;%gap GC
X-n101-k25;100;27591;sim;62845;;0,00;127,77;30359;;90,29;10,03;35444;;0,00;28,46;31577;;53,73;14,45
X-n106-k14;105;26362;sim;54816;;0,00;107,94;28279;;202,15;7,27;30109;;0,00;14,21;27265;;92,96;3,43
X-n110-k13;109;14971;sim;57442;;0,00;283,69;17081;*;209,00;14,09;17534;;0,00;17,12;17161;*;17,28;14,63
X-n115-k10;114;12747;sim;59764;;0,00;368,85;19321;*;128,58;51,57;16537;;0,00;29,73;15247;*;21,66;19,61
X-n120-k6;119;13332;sim;65160;;0,00;388,75;23061;*;138,28;72,97;15889;;0,00;19,18;15889;*;4,02;19,18
X-n125-k30;124;55539;sim;108039;;0,00;94,53;61309;;196,37;10,39;64064;;0,00;15,35;61499;;48,57;10,73
X-n129-k18;128;28940;sim;81166;;0,00;180,46;33689;;451,57;16,41;33201;;0,00;14,72;33098;*;15,80;14,37
X-n134-k13;133;10916;sim;39783;;0,00;264,45;15869;*;510,87;45,37;12793;;0,00;17,19;12669;*;9,05;16,06
X-n139-k10;138;13590;sim;72372;;0,00;432,54;22462;*;153,04;65,28;16645;;0,00;22,48;16645;*;5,40;22,48
X-n143-k7;142;15700;sim;83382;;0,00;431,10;28313;*;137,54;80,34;20383;;0,00;29,83;20346;*;12,58;29,59
X-n148-k46;147;43448;sim;92533;;0,00;112,97;46966;;356,11;8,10;50755;;0,00;16,82;47497;*;233,00;9,32
X-n153-k22;152;21220;sim;76114;;0,00;258,69;26242;*;339,81;23,67;28017;;0,00;32,03;25614;*;124,58;20,71
X-n157-k13;156;16876;sim;71339;;0,00;322,72;32037;*;40,77;89,84;18704;;0,00;10,83;18704;*;5,49;10,83
X-n162-k11;161;14138;sim;82811;;0,00;485,73;26536;*;317,05;87,69;17629;;0,00;24,69;17629;*;5,93;24,69
X-n167-k10;166;20557;sim;94595;;0,00;360,16;41590;*;74,99;102,32;25011;;0,00;21,67;25011;*;6,51;21,67
X-n172-k51;171;45607;sim;106355;;0,00;133,20;49303;*;1027,48;8,10;54164;;0,00;18,76;48851;*;224,14;7,11
X-n176-k26;175;47812;sim;122681;;0,00;156,59;59002;*;432,05;23,40;66374;;0,00;38,82;58054;*;82,42;21,42
X-n181-k23;180;25569;sim;77321;;0,00;202,40;36286;*;282,23;41,91;27718;;0,00;8,40;27718;*;6,66;8,40
X-n186-k15;185;24145;sim;106437;;0,00;340,82;41496;*;204,41;71,86;28901;;0,00;19,70;28901;*;7,95;19,70
X-n190-k8;189;16980;sim;67440;;0,00;297,17;34823;*;107,92;105,08;19452;;0,00;14,56;19409;*;18,18;14,31
X-n195-k51;194;44225;sim;109813;;0,00;148,31;51367;*;777,86;16,15;53127;;0,01;20,13;50799;*;138,71;14,86
X-n200-k36;199;58578;sim;131239;;0,00;124,04;66886;*;959,84;14,18;66964;;0,01;14,32;66399;*;45,61;13,35
X-n204-k19;203;19565;sim;90845;;0,00;364,32;37588;*;201,27;92,12;24869;;0,00;27,11;24255;*;34,01;23,97
X-n209-k16;208;30656;sim;123524;;0,00;302,94;61327;*;129,49;100,05;34749;;0,00;13,35;34749;*;7,71;13,35
X-n214-k11;213;10856;sim;53539;;0,00;393,17;30404;*;128,07;180,07;14490;;0,01;33,47;13982;*;44,19;28,80
X-n219-k73;218;117595;sim;192657;;0,00;63,83;137810;*;53,27;17,19;120136;;0,01;2,16;119989;*;18,30;2,04
X-n223-k34;222;40437;sim;149385;;0,00;269,43;53454;*;1094,17;32,19;47830;;0,01;18,28;46028;*;49,35;13,83
X-n228-k23;227;25742;sim;119495;;0,00;364,20;51627;*;287,34;100,56;35372;;0,01;37,41;35372;*;9,74;37,41
X-n233-k16;232;19230;sim;117368;;0,00;510,34;42280;*;207,45;119,86;23119;;0,01;20,22;23119;*;13,67;20,22
X-n237-k14;236;27042;sim;131393;;0,00;385,88;74413;*;244,08;175,18;32033;;0,01;18,46;32033;*;7,91;18,46
X-n242-k48;241;82751;sim;173980;;0,00;110,25;101957;*;2206,82;23,21;94580;;0,01;14,29;93400;*;76,20;12,87
